section,label,url,source_version
About,Skip to main content,"""#page-content""",ai_google_full_scrape_20260418_v3
About,"Why AI Boldly pursued, AI transforms lives globally when built and used responsibly",/why-ai/,ai_google_full_scrape_20260418_v3
About,"Our AI Journey For over 20 years, Google has worked to make AI helpful for everyone",/our-ai-journey/,ai_google_full_scrape_20260418_v3
About,AI Principles Our commitment to developing technology responsibly,/principles/,ai_google_full_scrape_20260418_v3
About,For organizations Our AI tools enable your organization to work smarter and make better decisions,/for-organizations/,ai_google_full_scrape_20260418_v3
About,"Learn AI Skills Learn essential AI skills through courses, certifications, and more",/learn-ai-skills/,ai_google_full_scrape_20260418_v3
About,Home,/,ai_google_full_scrape_20260418_v3
About,Products,/products/,ai_google_full_scrape_20260418_v3
About,Build,/build/,ai_google_full_scrape_20260418_v3
About,Research,/research/,ai_google_full_scrape_20260418_v3
About,Societal impact,/societal-impact/,ai_google_full_scrape_20260418_v3
About,spark Try Gemini,https://gemini.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://google.ai/,ai_google_full_scrape_20260418_v3
About,Try AI Mode,https://google.ai/,ai_google_full_scrape_20260418_v3
About,,https://gemini.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Try Gemini,https://gemini.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://gemini.google.com/?utm_source=ai.google&utm_medium=referral&target=image,ai_google_full_scrape_20260418_v3
About,Try in Gemini,https://gemini.google.com/?utm_source=ai.google&utm_medium=referral&target=image,ai_google_full_scrape_20260418_v3
About,,https://labs.google/flow?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Create with Flow,https://labs.google/flow?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://notebooklm.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Try NotebookLM,https://notebooklm.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://gemini.google.com/veo?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Try in Gemini,https://gemini.google.com/veo?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,/products/,ai_google_full_scrape_20260418_v3
About,Learn more,/products/,ai_google_full_scrape_20260418_v3
About,,https://blog.google/innovation-and-ai/technology/ai/nano-banana-2/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Learn more,https://blog.google/innovation-and-ai/technology/ai/nano-banana-2/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://ai.google/static/documents/building_personal_intelligence.pdf,ai_google_full_scrape_20260418_v3
About,Read the whitepaper,https://ai.google/static/documents/building_personal_intelligence.pdf,ai_google_full_scrape_20260418_v3
About,,https://blog.google/products/gemini/gemini-3-flash/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Learn more,https://blog.google/products/gemini/gemini-3-flash/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,,https://deepmind.google/models/gemini/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Learn more,https://deepmind.google/models/gemini/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,x,https://x.com/Googleai/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,For knowledge,https://ai.google/products/#for-knowledge,ai_google_full_scrape_20260418_v3
About,For creativity,https://ai.google/products/#for-creativity,ai_google_full_scrape_20260418_v3
About,For productivity,https://ai.google/products/#for-productivity,ai_google_full_scrape_20260418_v3
About,For students,https://ai.google/products/#for-students,ai_google_full_scrape_20260418_v3
About,For experimenting,https://ai.google/products/#for-experimenting,ai_google_full_scrape_20260418_v3
About,Explore products,https://ai.google/products/,ai_google_full_scrape_20260418_v3
About,Start building,https://ai.google/build/#start-building-with-google-deepmind-models,ai_google_full_scrape_20260418_v3
About,Code with AI assistance,https://ai.google/build/#code-with-ai-assistance,ai_google_full_scrape_20260418_v3
About,Leverage frameworks and tools,https://ai.google/build/#leverage-frameworks-and-tools,ai_google_full_scrape_20260418_v3
About,Build with Google AI,https://ai.google/build/,ai_google_full_scrape_20260418_v3
About,Health,/health/,ai_google_full_scrape_20260418_v3
About,Science,/science/,ai_google_full_scrape_20260418_v3
About,Sustainability,/sustainability/,ai_google_full_scrape_20260418_v3
About,Explore more research,https://ai.google/research/,ai_google_full_scrape_20260418_v3
About,Responsibility and safety,/safety/,ai_google_full_scrape_20260418_v3
About,Policy,/public-policy-perspectives/,ai_google_full_scrape_20260418_v3
About,Building for everyone,/building-for-everyone/,ai_google_full_scrape_20260418_v3
About,Social impact,/societal-impact/,ai_google_full_scrape_20260418_v3
About,Why AI,/why-ai/,ai_google_full_scrape_20260418_v3
About,Our AI Journey,https://ai.google/our-ai-journey/,ai_google_full_scrape_20260418_v3
About,AI Principles,/principles/,ai_google_full_scrape_20260418_v3
About,For organizations,/for-organizations/,ai_google_full_scrape_20260418_v3
About,Learn AI Skills,/learn-ai-skills/,ai_google_full_scrape_20260418_v3
About,Google,https://www.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,About Google,https://about.google/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Google Products,https://about.google/products/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Privacy,https://policies.google.com/privacy?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
About,Terms,https://policies.google.com/terms?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
Build,Skip to main content,"""#page-content""",ai_google_full_scrape_20260418_v3
Build,Explore our full AI stack,/build/,ai_google_full_scrape_20260418_v3
Build,Google AI Studio Build with our latest AI models,https://aistudio.google.com/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
Build,Vertex AI A platform built for enterprise,https://console.cloud.google.com/vertex-ai/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
Build,Gemini API Integrate our AI models into your apps,https://ai.google.dev/gemini-api/docs/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
Build,Google Antigravity Our agentic development platform,https://antigravity.google/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
Build,"Gemini Learn, build, and plan anything",https://deepmind.google/models/gemini/?utm_source=ai.google&utm_medium=referral,ai_google_full_scrape_20260418_v3
